CHEBI:27531	C06095
CHEBI:5350	C08488
CHEBI:5351	C09445
CHEBI:5355	C07601
CHEBI:5357	C07603
CHEBI:67986	C08945
CHEBI:5362	C10148
CHEBI:5363	C08899
CHEBI:5367	C06247
CHEBI:5374	C09463
CHEBI:5376	C09457
CHEBI:5379	C09466
CHEBI:5381	C09753
CHEBI:5383	C07669
CHEBI:5385	C10595
CHEBI:18259	C03272
CHEBI:5390	C01425
CHEBI:17815	C00641
CHEBI:3	C06147
CHEBI:28234	C07721
CHEBI:7	C11382
CHEBI:9	C09324
CHEBI:10	C11141
CHEBI:11	C09352
CHEBI:15390	C03036
CHEBI:15393	C01765
CHEBI:15396	C00808
CHEBI:17	C09389
CHEBI:19	C11394
CHEBI:20	C06304
CHEBI:28429	C02906
CHEBI:22	C10591
CHEBI:24	C10616
CHEBI:25	C09785
CHEBI:15382	C06099
CHEBI:29	C09575
CHEBI:31	C11390
CHEBI:15402	C00553
CHEBI:27934	C04165
CHEBI:37	C11360
CHEBI:40	C05366
CHEBI:43	C10167
CHEBI:27371	C08258
CHEBI:15403	C01868
CHEBI:49	C09654
CHEBI:28785	C02766
CHEBI:53	C09877
CHEBI:15386	C04468
CHEBI:15387	C02213
CHEBI:15398	C03448
CHEBI:60	C03039
CHEBI:61	C02484
CHEBI:63	C10418
CHEBI:27415	C04469
CHEBI:18429	C04223
CHEBI:28395	C04167
CHEBI:28937	C11060
CHEBI:75	C11358
CHEBI:77	C09340
CHEBI:79	C10545
CHEBI:80	C09341
CHEBI:15394	C01766
CHEBI:84	C09368
CHEBI:15397	C00809
CHEBI:88	C11386
CHEBI:90	C09727
CHEBI:92	C11359
CHEBI:15408	C02485
CHEBI:18292	C08491
CHEBI:15383	C00521
CHEBI:100	C10503
CHEBI:15411	C03962
CHEBI:105	C10508
CHEBI:107	C09604
CHEBI:111	C08257
CHEBI:113	C09642
CHEBI:115	C10526
CHEBI:116	C10171
CHEBI:15412	C00603
CHEBI:123	C10539
CHEBI:37600	C08259
CHEBI:126	C09462
CHEBI:129	C11392
CHEBI:15405	C02344
CHEBI:28598	C11108
CHEBI:139	C07283
CHEBI:15544	C04741
CHEBI:15545	C04685
CHEBI:15548	C04654
CHEBI:15558	C04742
CHEBI:150	C11411
CHEBI:151	C00451
CHEBI:152	C11397
CHEBI:154	C11398
CHEBI:157	C09837
CHEBI:158	C11416
CHEBI:48202	C10377
CHEBI:15566	C04687
CHEBI:15567	C04670
CHEBI:15443	C03323
CHEBI:15572	C04030
CHEBI:27615	C02909
CHEBI:15576	C11513
CHEBI:15577	C03910
CHEBI:15450	C05329
CHEBI:15582	C03652
CHEBI:15451	C05232
CHEBI:15602	C06326
CHEBI:15605	C02345
CHEBI:15606	C02099
CHEBI:15607	C04593
CHEBI:15608	C04655
CHEBI:15449	C04405
CHEBI:15456	C01086
CHEBI:17848	C01282
CHEBI:17504	C04230
CHEBI:16975	C00681
CHEBI:37296	C05977
CHEBI:28894	C05208
CHEBI:17106	C03968
CHEBI:15850	C02773
CHEBI:16181	C01214
CHEBI:17928	C01283
CHEBI:614	C10433
CHEBI:615	C06669
CHEBI:28555	C06638
CHEBI:27454	C06637
CHEBI:28354	C06257
CHEBI:16493	C11437
CHEBI:28779	C07726
CHEBI:17110	C04280
CHEBI:17770	C04719
CHEBI:15664	C11811
CHEBI:28091	C11427
CHEBI:28733	C04100
CHEBI:17472	C04731
CHEBI:641	C11310
CHEBI:18083	C02216
CHEBI:16797	C02918
CHEBI:27435	C06178
CHEBI:27395	C04360
CHEBI:17473	C04361
CHEBI:15834	C01158
CHEBI:16546	C01175
CHEBI:17935	C01545
CHEBI:16188	C00756
CHEBI:28468	C04102
CHEBI:666	C09526
CHEBI:668	C08457
CHEBI:16152	C11554
CHEBI:17283	C04549
CHEBI:16500	C11557
CHEBI:16749	C01194
CHEBI:17543	C04037
CHEBI:36761	C03564
CHEBI:18428	C02919
CHEBI:17505	C01235
CHEBI:18193	C11700
CHEBI:694	C11664
CHEBI:16060	C11635
CHEBI:15637	C00234
CHEBI:15878	C05247
CHEBI:17130	C02217
CHEBI:28667	C05964
CHEBI:78600	C05490
CHEBI:712	C08807
CHEBI:716	C11666
CHEBI:16147	C04318
CHEBI:722	C06778
CHEBI:723	C06775
CHEBI:47787	C01985
CHEBI:16254	C03455
CHEBI:27595	C05959
CHEBI:27783	C05489
CHEBI:86389	C05473
CHEBI:35346	C01058
CHEBI:15808	C03206
CHEBI:15716	C05193
CHEBI:27814	C05949
CHEBI:744	C09153
CHEBI:748	C08767
